"","unqualified","cep","bepc","high_school_diploma","university","thirty","fifty","more_fifty"
"money",51,64,32,29,17,59,66,70
"future",53,90,78,75,22,115,117,86
"unemployment",71,111,50,40,11,79,88,177
"circumstances",1,7,5,5,4,9,8,5
"hard",7,11,4,3,2,2,17,18
"economic",7,13,12,11,11,18,19,17
"egoism",21,37,14,26,9,14,34,61
"employment",12,35,19,6,7,21,30,28
"finances",10,7,7,3,1,8,12,8
"war",4,7,7,6,2,7,6,13
"housing",8,22,7,10,5,10,27,17
"fear",25,45,38,38,13,48,59,52
"health",18,27,20,19,9,13,29,53
"work",35,61,29,14,12,30,63,58
"comfort",2,4,3,1,4,NA,NA,NA
"disagreement",2,8,2,5,2,NA,NA,NA
"world",1,5,4,6,3,NA,NA,NA
"to_live",3,3,1,3,4,NA,NA,NA
